Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.18,-.30,-.05,-.39,-.14,-.02,-.79,-.50,-.31,-.17,-.12,-.05,.05,.70
1881,-.09,-.19,-.01,-.35,.09,-.07,-.84,-.46,-.22,.09,.09,-.06,-.07,.62
1882,-.11,-.22,-.02,-.31,-.06,.01,-1.34,-.27,-.16,-.07,-.06,.01,.04,.65
1883,-.18,-.29,-.07,-.34,-.18,-.01,-.12,-.55,-.28,-.19,-.16,-.04,.07,.52
1884,-.28,-.43,-.15,-.60,-.16,-.14,-1.25,-.64,-.47,-.14,-.18,-.19,-.02,.67
1885,-.34,-.44,-.25,-.65,-.15,-.27,-1.45,-.68,-.47,-.08,-.21,-.33,-.15,.85
1886,-.32,-.44,-.20,-.56,-.21,-.21,-1.53,-.50,-.41,-.23,-.19,-.20,-.20,.62
1887,-.36,-.44,-.29,-.52,-.31,-.28,-1.71,-.50,-.30,-.31,-.31,-.28,-.26,.34
1888,-.18,-.24,-.12,-.42,.09,-.29,-1.25,-.44,-.25,.05,.13,-.31,-.22,.18
1889,-.11,-.18,-.04,-.29,.06,-.16,-.63,-.23,-.28,-.01,.13,-.15,-.15,.47
1890,-.36,-.39,-.33,-.45,-.38,-.22,-1.09,-.56,-.28,-.29,-.48,-.18,-.27,.18
1891,-.23,-.26,-.20,-.41,-.09,-.21,-1.05,-.33,-.36,-.02,-.17,-.18,-.24,-.13
1892,-.27,-.40,-.15,-.42,-.31,-.08,-1.07,-.65,-.17,-.36,-.27,.02,-.21,.11
1893,-.31,-.47,-.15,-.50,-.38,-.04,-.61,-.54,-.47,-.44,-.31,.07,-.20,-.02
1894,-.30,-.39,-.22,-.32,-.35,-.23,-.91,-.32,-.18,-.50,-.20,-.14,-.35,-.35
1895,-.23,-.31,-.15,-.39,-.09,-.25,-.65,-.52,-.26,-.16,-.01,-.19,-.32,-.56
1896,-.12,-.20,-.03,-.34,.08,-.15,-.85,-.37,-.21,.02,.13,-.15,-.13,.28
1897,-.11,-.17,-.05,-.35,.15,-.23,-.53,-.46,-.24,.11,.19,-.19,-.27,.43
1898,-.28,-.29,-.26,-.35,-.24,-.26,-1.14,-.24,-.23,-.21,-.27,-.27,-.21,.40
1899,-.18,-.21,-.14,-.23,-.13,-.18,-.99,-.09,-.14,-.18,-.09,-.15,-.22,.61
1900,-.09,-.10,-.07,-.20,.15,-.30,-.51,-.16,-.15,.07,.24,-.28,-.29,.30
1901,-.15,-.12,-.18,-.15,-.05,-.30,-.31,-.10,-.15,-.08,-.02,-.27,-.33,.29
1902,-.28,-.34,-.22,-.53,-.05,-.34,-1.47,-.50,-.32,-.04,-.06,-.28,-.43,-.02
1903,-.37,-.38,-.37,-.45,-.30,-.38,-.18,-.41,-.56,-.26,-.34,-.35,-.40,-.48
1904,-.48,-.49,-.46,-.51,-.48,-.44,-.17,-.60,-.55,-.46,-.51,-.37,-.49,-1.31
1905,-.27,-.29,-.23,-.39,-.10,-.35,.00,-.23,-.62,-.13,-.07,-.33,-.37,-.32
1906,-.23,-.23,-.22,-.24,-.21,-.23,-.23,-.06,-.38,-.22,-.20,-.20,-.22,-.70
1907,-.39,-.47,-.31,-.58,-.32,-.29,-.54,-.72,-.51,-.31,-.33,-.21,-.37,-1.19
1908,-.43,-.45,-.41,-.47,-.46,-.36,-.20,-.54,-.50,-.44,-.48,-.29,-.48,.69
1909,-.49,-.50,-.49,-.52,-.50,-.44,-.69,-.62,-.43,-.46,-.55,-.37,-.52,-.56
1910,-.44,-.45,-.44,-.41,-.51,-.38,-.58,-.24,-.48,-.51,-.52,-.33,-.45,.17
1911,-.45,-.42,-.47,-.41,-.45,-.48,-.25,-.41,-.46,-.45,-.46,-.44,-.52,.06
1912,-.37,-.47,-.26,-.59,-.22,-.36,-.48,-.79,-.49,-.30,-.13,-.37,-.29,-1.62
1913,-.35,-.42,-.28,-.43,-.30,-.35,-.45,-.33,-.50,-.42,-.18,-.28,-.40,-1.03
1914,-.16,-.19,-.13,-.24,-.10,-.17,-.32,-.16,-.28,-.13,-.07,-.15,-.18,-.35
1915,-.15,-.14,-.15,-.22,-.04,-.22,-.56,-.16,-.18,-.02,-.05,-.15,-.23,-1.97
1916,-.36,-.42,-.32,-.36,-.47,-.23,-.48,-.54,-.23,-.51,-.43,-.23,-.17,-1.04
1917,-.46,-.57,-.37,-.49,-.65,-.19,-.77,-.50,-.42,-.70,-.60,-.23,-.09,.07
1918,-.30,-.40,-.21,-.40,-.36,-.14,-.97,-.27,-.34,-.40,-.32,-.06,-.23,-.27
1919,-.28,-.35,-.21,-.42,-.22,-.22,-.66,-.55,-.29,-.24,-.20,-.15,-.32,.21
1920,-.28,-.30,-.25,-.24,-.28,-.32,.01,-.20,-.34,-.39,-.16,-.19,-.48,-1.13
1921,-.19,-.11,-.28,.02,-.27,-.31,.01,.17,-.08,-.30,-.24,-.23,-.38,-.83
1922,-.29,-.27,-.30,-.23,-.34,-.27,-.25,-.40,-.13,-.34,-.34,-.24,-.28,-.27
1923,-.27,-.22,-.31,-.14,-.31,-.34,.22,-.15,-.25,-.33,-.29,-.27,-.41,-.53
1924,-.27,-.18,-.36,-.12,-.27,-.43,.55,-.25,-.23,-.28,-.26,-.40,-.45,-.52
1925,-.22,-.14,-.30,-.03,-.25,-.37,-.03,.18,-.18,-.29,-.21,-.25,-.55,-.85
1926,-.11,.01,-.22,.03,.00,-.40,.58,.16,-.22,-.01,.01,-.35,-.45,-.62
1927,-.22,-.14,-.30,-.12,-.17,-.38,.04,-.21,-.12,-.15,-.19,-.31,-.45,-1.37
1928,-.20,-.10,-.29,-.07,-.16,-.39,.67,-.17,-.22,-.16,-.17,-.29,-.48,-2.11
1929,-.36,-.34,-.38,-.37,-.29,-.45,.13,-.61,-.38,-.28,-.30,-.43,-.44,-1.07
1930,-.16,-.01,-.29,.04,-.12,-.42,.51,.05,-.10,-.10,-.14,-.33,-.47,-2.58
1931,-.10,.05,-.22,.01,.07,-.42,.57,-.03,-.14,.10,.04,-.42,-.40,-.40
1932,-.16,-.06,-.26,.03,-.17,-.34,.46,.20,-.21,-.19,-.15,-.21,-.53,-.98
1933,-.29,-.26,-.32,-.24,-.29,-.34,-.15,-.46,-.12,-.29,-.29,-.22,-.48,-1.14
1934,-.13,-.01,-.25,.18,-.26,-.26,.89,.31,-.13,-.27,-.25,-.15,-.38,-.56
1935,-.20,-.10,-.30,-.05,-.19,-.37,.33,-.04,-.16,-.18,-.21,-.30,-.41,-1.70
1936,-.15,-.04,-.26,-.02,-.14,-.30,.41,.11,-.26,-.06,-.22,-.26,-.33,-.02
1937,-.03,.12,-.18,.20,-.06,-.22,1.23,.03,-.03,.00,-.12,-.19,-.25,.37
1938,.00,.16,-.18,.39,-.23,-.09,1.53,.39,.02,-.19,-.28,-.06,-.11,-.85
1939,-.02,.08,-.13,.22,-.13,-.12,.56,.29,.08,-.13,-.14,-.04,-.18,-1.59
1940,.12,.16,.09,.11,.26,-.07,.99,-.02,-.10,.25,.28,.03,-.20,-.04
1941,.18,.22,.16,.01,.47,-.05,.02,-.09,.08,.52,.43,.03,-.15,-.46
1942,.06,.12,.00,.13,.07,-.01,.72,-.07,.06,.10,.03,.05,-.05,-.89
1943,.09,.18,-.01,.37,-.09,.04,1.43,.28,.11,-.11,-.07,.07,.00,1.15
1944,.20,.27,.14,.38,.18,.05,1.18,.47,.09,.10,.26,.18,-.09,-.97
1945,.09,.11,.09,.12,.17,-.03,.66,-.02,.04,.10,.24,.04,.00,-1.81
1946,-.07,.03,-.17,.06,-.05,-.24,-.03,-.05,.17,-.02,-.07,-.22,-.24,-.21
1947,-.03,.08,-.14,.16,-.06,-.16,1.07,-.13,.05,-.03,-.10,-.19,-.08,-.23
1948,-.11,-.01,-.20,.13,-.18,-.24,.12,.32,.01,-.22,-.14,-.19,-.19,-1.41
1949,-.11,-.02,-.19,.11,-.19,-.23,.20,.17,.05,-.23,-.15,-.17,-.15,-2.01
1950,-.17,-.15,-.21,-.05,-.29,-.14,.18,-.31,.04,-.30,-.28,-.06,-.16,-.86
1951,-.07,.05,-.18,.08,-.06,-.23,.07,.01,.13,.00,-.12,-.22,-.16,-.70
1952,.01,.06,-.03,.11,.02,-.09,.27,-.09,.19,-.01,.05,-.10,-.02,-.53
1953,.08,.25,-.07,.36,.07,-.18,1.03,.36,.14,.08,.07,-.08,-.24,-1.13
1954,-.13,-.02,-.25,.07,-.21,-.22,.80,-.21,.01,-.14,-.29,-.18,-.20,-.81
1955,-.14,-.09,-.20,.05,-.34,-.06,-.23,-.11,.24,-.29,-.38,-.16,-.08,1.21
1956,-.19,-.23,-.16,-.20,-.33,.00,.01,-.48,-.08,-.28,-.37,-.14,.02,.77
1957,.05,.04,.05,.03,.08,.02,.09,.22,-.10,.06,.10,-.09,-.02,.49
1958,.06,.15,-.03,.08,.21,-.16,-.18,.14,.13,.26,.15,-.09,-.08,-.56
1959,.03,.13,-.06,.16,.08,-.16,.49,.18,.05,.07,.08,-.03,-.26,-.39
1960,-.02,.08,-.13,.09,.02,-.20,.34,-.07,.11,.07,-.02,-.10,-.07,-.78
1961,.06,.09,.03,.19,-.03,.05,-.16,.38,.18,-.07,.00,.14,-.17,.21
1962,.03,.13,-.06,.24,-.05,-.07,.44,.31,.14,-.04,-.05,.09,-.07,-.65
1963,.05,.14,-.03,.14,.12,-.12,-.16,.31,.13,.14,.10,-.10,-.17,-.03
1964,-.20,-.19,-.20,-.23,-.14,-.24,-.66,-.20,-.12,-.14,-.14,-.30,-.07,-.37
1965,-.11,-.14,-.07,-.19,-.03,-.13,-.28,-.24,-.12,-.08,.02,-.23,-.03,.00
1966,-.06,-.02,-.09,-.14,.08,-.15,-.76,-.19,.09,.16,-.01,-.23,-.14,.12
1967,-.02,.03,-.08,.12,-.14,-.01,.36,.26,-.05,-.11,-.17,-.09,-.02,.31
1968,-.08,-.07,-.09,-.11,-.06,-.08,-.33,-.02,-.09,-.02,-.11,-.14,.00,-.07
1969,.05,-.03,.14,-.29,.33,.02,-.03,-.61,-.17,.35,.32,.00,.13,-.16
1970,.03,-.04,.09,-.11,.07,.12,-.20,-.13,-.07,.07,.07,.11,.03,.35
1971,-.08,-.15,-.01,-.06,-.26,.13,-.08,.01,-.10,-.30,-.22,.03,.16,.48
1972,.01,-.18,.20,-.34,.17,.15,-.37,-.47,-.24,.06,.27,.16,-.02,.48
1973,.16,.09,.23,.10,.19,.18,.06,.27,.01,.07,.30,.22,.07,.35
1974,-.07,-.18,.03,-.14,-.20,.18,-.19,-.07,-.18,-.23,-.17,.21,-.08,.65
1975,-.01,-.06,.02,.12,-.24,.16,.10,.39,-.05,-.31,-.17,.13,.14,.31
1976,-.10,-.21,.01,-.26,-.12,.09,-.08,-.32,-.28,-.13,-.10,.10,.22,-.22
1977,.18,.12,.24,.13,.15,.25,.16,.24,.06,.09,.21,.21,.31,.28
1978,.07,.02,.11,-.03,.07,.16,-.16,.04,-.04,.10,.05,.21,.13,.03
1979,.16,.08,.25,-.03,.26,.23,-.61,.07,.08,.25,.27,.29,.33,-.21
1980,.25,.17,.34,.06,.30,.39,.26,.02,.02,.32,.28,.35,.37,.56
1981,.32,.37,.27,.48,.18,.36,1.09,.79,.08,.21,.14,.28,.38,.62
1982,.14,.05,.23,-.08,.27,.18,-.40,.10,-.09,.24,.29,.18,.32,-.11
1983,.31,.24,.38,.22,.43,.25,.18,.69,-.07,.28,.57,.21,.41,.10
1984,.15,.03,.27,.01,.18,.26,.36,.08,-.14,.07,.29,.16,.32,.54
1985,.12,.00,.24,-.03,.09,.31,.39,-.26,-.02,.04,.13,.30,.44,.07
1986,.18,.13,.23,.10,.22,.20,.01,.28,.03,.17,.27,.25,.25,-.09
1987,.32,.24,.40,.04,.58,.25,-.36,.13,.12,.55,.62,.32,.25,.01
1988,.39,.37,.41,.40,.37,.40,.59,.57,.23,.32,.42,.38,.20,.94
1989,.27,.27,.27,.40,.12,.34,.33,.69,.25,.06,.18,.36,.30,.37
1990,.45,.52,.37,.63,.37,.37,.58,.88,.48,.37,.36,.38,.37,.37
1991,.41,.41,.40,.47,.36,.40,.75,.66,.26,.32,.40,.31,.29,.98
1992,.22,.13,.31,.09,.28,.27,-.17,.44,-.03,.20,.37,.20,.33,.42
1993,.23,.19,.28,.13,.32,.22,.54,.30,-.11,.28,.35,.27,.39,-.28
1994,.31,.37,.26,.43,.31,.21,.34,.50,.41,.28,.34,.27,.23,-.02
1995,.44,.58,.32,.70,.42,.22,1.31,.99,.32,.40,.44,.29,.15,.16
